id,word
1,the a <eos> to any that in it mr. on he out <unk> an his when as their this for
2,to a the that <eos> for in and an by it with N <unk> of was $ said at has
3,<eos> the of <unk> in a to last that and which as is bank by on at march new mr.
4,<eos> of <unk> 's to N and in for from the a or with $ said it next level but
5,index <unk> said a to is <eos> contract of the and in has $ that will which was contracts N
6,<eos> gains to and in appreciation <unk> markets a N by interest 's which the from for on trading index
7,<unk> new same most issue government first N best other u.s. company cost world poor current sale size way nation
8,<eos> 's said <unk> is was and had a has to will expects in received sees who sold group the
9,<eos> to and in <unk> of who by on the said for that with 's is a as ' at
10,a the expected <unk> n't likely not in to an that still now scheduled one being more less part <eos>
11,<unk> own way <eos> money the activities market stock purchases and contract clients companies ability in position financial efforts current
12,the N a <unk> april july london august which march an exchange june new late december its san frankfurt chicago
13,the N $ <unk> a its five about three four average each seven all two six one most more an
14,<eos> <unk> a in the n't to on as and not at up down N fully priced that charged changed
15,N a <eos> the to <unk> and by $ two in of for an that about with three five it
16,<unk> first same $ N most second highest only subject latest largest way company case right third two tax worst
17,<unk> to in a <eos> the about by as from N and at $ more for that on out held
18,<eos> the to a that and for in of <unk> on as from with which or but directly it because
19,board <unk> <eos> of department number rate u.s. and the to market world 's way fund oil commission industry average
20,<eos> and in at <unk> on is to a as the was for has volume 's yesterday an last will
21,<unk> company u.s. government quake federal new first house supreme earthquake market two city state soviets stock sale current white
22,the <unk> a <eos> it this mr. an taking its in to that hurricane what one next all and N
23,<eos> in the and a to <unk> as that for by at of on 's up which because out N
24,the to <unk> a that for in <eos> on are it is said and an their as out its would
25,<eos> by in at to for and with the on or as of <unk> but back from a into more
26,and <eos> in a the to that <unk> which for as of were it will is at are on would
27,a <unk> the down in quoted $ n't triggered at up N to announced sold <eos> that held hit created
28,is has was <unk> will are have <eos> the and he had would it makes for of in a at
29,<eos> 's and to journal in firms <unk> for market the a is that brokerage as of stock at stocks
30,new big <unk> stock market basis N common issue sidelines federal day company s&p other chicago shares dollar exchange sale
31,<eos> of the and in which is that a to said <unk> for he 's was have are will it
32,<unk> state u.s. national soviet world committee supreme senate bay company united new board commission orange soviets federal administration house
33,the <unk> N a september san new july june august april october south which march its u.s. an turn london
34,<unk> exchange market prices markets of <eos> is pickers exchanges and was in has a to 's for the closed
35,the <unk> <eos> a 's it and in of its to that national as airlines for he his people but
36,<eos> the and in <unk> to of that at he a or on 's as by traders brokers it for
37,<eos> and <unk> in prices to market of by is the which that a for pickers funds has as was
38,to a the <eos> <unk> in for that of its and them an as about out from orders it sell
